R28045	P15259	R27853
R56334	P27030	L114348
R64132	P2005	R63783
R28547	P15280	L57511
R63277	P33132	L185401
R60318	P33133	L149894
R54562	P31024	L105294
R32730	P32	R32545
R63388	P33131	L186732
R62620	P33139	L177524
R60777	P33139	L155408
R67598	P33149	L236913
R41129	P20021	R41113
R63029	P33135	L182428
R58651	P33050	L133888
R30794	P29	L61943
R60212	P33136	L148625
R64684	P33148	L201965
R65868	P33149	L216153
R67204	P33147	L232183
R26245	P15072	L51966
R62375	P33133	L174578
R63105	P33130	L183335
R54966	P31005	L108608
R26719	METHOD	R26609
R32051	P15495	R32036
R60716	P2005	R60165
R54574	P27	L105414
R38289	P18059	R38272
R66048	P33151	L218315
R60324	P33132	L149965
R53272	P30001	L98243
R63838	P33148	L191813
R60349	P33135	L150268
R61080	P33140	L159045
R64084	P33152	L194769
R56784	P33009	L118309
R67319	P33146	L233562
R62036	P33132	L170509
R63520	P33134	L188319
R68278	TemplateComponentOccurrenceMin	L238487
R34824	P28	L73771
R59806	P33073	L145051
R25552	P15059	L48163
R60908	P33130	L156971
R44723	P23154	L83637
R56578	P15068	L116390
R56300	P9040	L114070
R30466	P29	L60594
R30642	P15313	L61371
R60385	P33140	L150705
R56850	P31005	L118917
R62186	P33140	L172317
R31945	P31	R32017
R63746	P33134	L191031
R60311	P33130	L149807
R60588	P33132	L153133
R65801	P33152	L215352
R57345	P30001	L123534
R69642	P34083	L240775
R66343	P33152	L221856
R49288	P27028	L90411
R63971	P33151	L193412
R59260	P33046	L139974
R60995	P33131	L158016
R53264	P31006	L98198
R54289	P32	R54245
R57648	P27	L124898
R59971	P33097	L146530
R26665	P15171	R26611
R50153	P29	L92235
R54651	P31024	L106186
R56239	P27	L113575
R65512	P33146	L211878
R27626	P15244	L55635
R67365	P33149	L234117
R59279	P33045	L140163
R59272	P33046	L140094
R32571	P31	R32572
R58724	P33045	L134613
R4467	P4056	R4471
R30022	P27	L60163
R56766	P31	R56767
R33686	P15602	L70305
R56216	P33008	L113376
R64517	P33141	L199954
R63250	P33139	L185084
R65544	P33141	L212257
R38565	P27	L76642
R46748	P25067	R46770
R66553	P2005	R63783
R67129	P33151	L231287
R67017	P33152	L229944
R57364	P33006	L123720
R54785	P9040	L107501
R57378	P28	L123861
R60565	P33131	L152856
R25351	P15038	L47373
R56169	P30001	L112979
R64074	P33145	L194642
R61492	P33133	L163982
R60799	P33133	L155666
R30356	P15239	R29445
R57888	P33039	L127554
R45002	P24002	L85037
R58588	P33046	L133254
R61623	P33139	L165560
R26055	P27	L51230
R59792	P33072	L144882
R27247	P15196	L54297
R65654	P33143	L213579
R58404	P33046	L131414
R61049	P33133	L158666
R64471	P33147	L199408
R57883	P31	R57884
R67084	P33150	L230746
R64798	P33144	L203329
R441	P36	R447
R62453	P33139	L175520
R58280	P33048	L130176
R67075	P2005	R63783
R58819	P33049	L135567
R58037	P27	L128923
R32752	P31	R32753
R54225	P15068	L102093
R48398	TemplateComponentOrder	L89759
R60818	P33133	L155894
R52116	P28	L95940
R56544	P33011	L116069
R56675	P15068	L117322
R25436	P27	L47563
R59567	P33044	L143042
R61595	P33132	L165217
R44847	P27	R44849
R61707	P33135	L166564
R29488	P15343	R29477
R59187	P33043	L139241
R59456	P33048	L141936
R57762	P31024	L126168
R63165	P33140	L184065
R62300	P33131	L173676
R60566	P33133	L152870
R53227	P31002	L97868
R57593	P33038	L124338
R60707	P33131	L154560
R33734	P15604	L70554
R61728	P33139	L166820
R66699	P33150	L226126
R54967	P31	R54968
R30765	P31	R30927
R33321	P28	L69710
R60728	P33130	L154811
R62012	P33139	L170228
R31669	compareContribution	R31477
R69615	P31	R69616
R25965	P29	L50521
R53088	HAS_METHOD	R51093
R31993	P15493	L65147
R44294	P23081	R44295
R60477	P33133	L151802
R66355	P33148	L221996
R56214	P31024	L113366
R60586	P33131	L153108
R69660	P34077	L240834
R44137	P27	L82209
R54578	P31	R54580
R59339	P33042	L140760
R65371	P33152	L210192
R54780	P32119	L107454
R63162	P33132	L184021
R50198	hasContent	L92277
R59262	P33042	L139990
R38264	P27	L76230
R64280	P33149	L197118
R58391	P33042	L131280
R67510	P2005	R63783
R64708	P33146	L202251
R57017	P30002	L120478
R25723	P15075	L48874
R60815	P33129	L155854
R62980	P33139	L181844
R64328	P33150	L197695
R25831	P32	R25769
R61724	P33132	L166765
R60631	P33137	L153654
R28601	P28	L58008
R55118	P32122	L110002
R34280	P15640	L72033
R51267	P27	L112059
R62984	P33136	L181889
R67539	P33150	L236206
R34757	compareContribution	R34746
R61503	P2005	R60165
R67350	P33143	L233931
R6276	P5023	R6214
R64784	P33141	L203158
R60939	P33139	L157352
R52134	P29011	L96082
R66625	P33151	L225239
R52253	TemplateComponentOccurrenceMin	L96395
R44645	P27	L83360
R52252	TemplateComponentOrder	L96394
R61936	P2005	R60165
R42020	P9069	R42021
R54710	P31005	L106777
R56228	P33009	L113478
R65261	P33148	L208868
R25179	P15019	L46530
R59412	P33047	L141495
R56845	P28	L118870
R59527	P33044	L142642
R60772	P33136	L155345
R61859	P33132	L168385
R59897	P33082	L145876
R30476	compareContribution	R30471
R56125	P30004	L112605
R63689	P33132	L190345
R66021	P33149	L217989
R54973	P27	L108668
R27550	P15239	R27548
R59691	P33045	L144283
R60735	P33132	L154897
R56781	P30	R50
R63336	P33136	L186113
R27200	P30	R11
R58182	P2005	R58159
R54662	P31024	L106294
R64770	P2005	R63783
R25942	P27	L50385
R62274	P33139	L173372
R28574	P27	L57741
R34289	P15237	R34283
R58558	P33043	L132951
R69748	P27	L241063
R66190	P33141	L220009
R31903	compareContribution	R31888
R28027	P27	L56417
R34958	P31	R34587
R51267	P31	R51393
R32152	P15503	R32149
R60330	P2005	R60165
R57090	P31023	L121174
R66599	P33148	L224924
R54388	P31	R54389
R46152	P27	L86453
R25186	P15021	R25184
R6619	P34	R6620
R66435	P33147	L222955
R6911	P5102	L5596
R46525	P25062	L87304
R32821	P29	L67493
R58476	P33048	L132136
R66911	P33143	L228663
R67373	P33143	L234207
R67219	P33142	L232358
R30140	P15345	R29391
R54884	P31	R54918
R69116	P34039	R69105
R65783	P33148	L215132
R64161	P33142	L195683
R62582	P33138	L177067
R62486	P33129	L175906
R65629	P33141	L213277
R63406	P2005	R60165
R44635	TemplateComponentOrder	L83310
R60931	P33131	L157248
R28261	P15051	R28147
R66629	P33141	L225277
R60542	P33132	L152581
R67214	P33145	L232301
R32766	P26	L67258
R27257	P15202	L54358
R65171	P33145	L207785
R8713	P27	L8721
R60922	P33133	L157142
R54532	P32118	L105000
R66080	P33147	L218695
R62939	P33135	L181348
R59423	P33045	L141603
R57192	P30001	L122108
R29404	P27	L59700
R54256	P31023	L102364
R58943	P33044	L136802
R30703	P15375	L61508
R54138	P27	L101235
R65413	P33149	L210693
R61999	P33138	L170071
R52187	TemplateComponentOccurrenceMin	L96264
R70030	P31	R70145
R59035	P33041	L137719
R54865	P27030	L108295
R67436	P33149	L234969
R52097	P30002	L95782
R28504	P15276	L57338
R59581	P33041	L143179
R56806	P30002	L118514
R60931	P2005	R60165
R44098	P23014	L82151
R46070	P27	L86018
R65914	P33152	L216708
R56878	P31023	L119169
R50798	P27	L93027
R62276	P33134	L173391
R61488	P2005	R60165
R65516	P33142	L211922
R61668	P33137	L166098
R65681	P2005	R63783
R34515	P31	R34524
R46111	HAS_VENUE	R1012
R65062	P33152	L206484
R31007	P32	R30740
R28614	compareContribution	R28598
R28467	P29	L57278
R44632	TemplateComponentOccurrenceMin	L83299
R33581	compareContribution	R33437
R40015	TemplateComponentOrder	L78036
R66649	P33143	L225519
R62386	P33140	L174717
R55109	P15068	L109919
R68752	P27	L238989
R69453	HAS_RESULTS	R69450
R59689	P33047	L144265
R37003	P26	L75007
R31850	P15470	L64470
R31267	P33	R31250
R6694	P34	R6695
R56145	P27030	L112769
R65251	P33143	L208743
R65621	P33141	L213181
R59391	P33044	L141282
R66340	P33143	L221811
R58239	P33048	L129766
R50430	contains	R50424
R59001	P33045	L137383
R63343	P2005	R60165
R6330	P5016	L4433
R69680	compareContribution	R69649
R54196	P28	L101805
R6948	compareContribution	R6583
R58660	P2005	R58159
R26625	METHOD	R26615
R65824	P2005	R63783
R63830	P33145	L191714
R30946	P15388	R30821
R62902	P33129	L180898
R58410	P33044	L131472
R63892	P33142	L192455
R6109	P26	L4122
R54984	P29	L108773
R66585	P33152	L224760
R27108	P29	L53964
R58306	P33050	L130438
R27615	P15239	R27493
R63477	P2005	R60165
R58169	P5103	L129173
R62057	P33133	L170762
R64831	P33149	L203709
R64617	P33143	L201156
R25835	P15087	L49672
R50503	HAS_VENUE	R50504
R70054	P27	L241697
R63921	P33149	L192810
R25652	P15067	L48496
R62126	P33129	L171586
R54716	P29012	L106825
R32413	P27	L65989
R46234	P25019	L86840
R60161	P33125	L148305
R61615	P33139	L165464
R57692	P31024	L125406
R57342	P15068	L123507
R56679	P33008	L117348
R56784	P32	R56530
R69131	P34052	R69112
R64866	P33142	L204122
R26068	P15121	L51328
R60535	P33132	L152497
R57801	P27	L126575
R59610	P33048	L143476
R9514	P7214	L9150
R61849	P33130	L168263
R64057	P33142	L194435
R49443	P7037	R49474
R32892	P15538	L68042
R46159	P25011	L86505
R54213	P31005	L101970
R54624	P30001	L105903
R32996	P15585	L69016
R61166	P33131	L160068
R63302	P33136	L185705
R62577	P33133	L177002
R23392	P7159	L45467
R58873	P33044	L136102
R28775	P32	R28618
R60045	P33112	L147121
R61899	P33138	L168871
R6362	P5018	R6244
R57045	P30004	L120748
R68711	HAS_RESULTS	R50419
R64838	P33147	L203791
R58643	P33050	L133808
R67269	P33146	L232962
R59784	P33063	L144777
R57617	P15068	L124575
R59852	P4006	R59853
R65386	P33151	L210371
R56155	P27030	L112856
R44806	P27	L238573
R59752	P33052	L144693
R26429	P31	R26430
R59117	P33049	L138547
R62015	P33138	L170263
R45006	P15024	L85002
R67329	P33151	L233687
R25273	P15037	L46977
R25779	P29	L49181
R6619	P15	R6621
R9624	P4056	R9629
R66243	P33152	L220656
R64608	P33145	L201050
R34235	P15237	R27672
R27936	P27	L56259
R58491	P33045	L132283
R49212	TemplateComponent	R49214
R59396	P33049	L141337
R67239	P33152	L232608
R65194	P33152	L208068
R62313	P33132	L173833
R33759	P15603	L70678
R44035	P15238	R44037
R58984	P33045	L137213
R60428	P33134	L151215
R66572	P2005	R63783
R28641	P27	L58145
R30374	P15344	R29391
R62111	P33129	L171406
R62268	P33137	L173298
R66202	P33147	L220159
R49592	TemplateComponentOccurrenceMin	L90914
R63721	P33133	L190730
R67019	P33146	L229962
R28592	P15280	L57913
R57624	P33037	L124644
R29221	P29	L59362
R64390	P33143	L198432
R65965	P33146	L217314
R34551	P32	R34497
R57942	P33039	L128167
R27476	P15233	L55213
R65067	P33148	L206540
R54666	P29012	L106326
R26355	P32	R26155
R33596	P26	L239902
R64672	P33149	L201822
R66210	P33150	L220258
R6231	P2005	R6233
R57219	P27	L122358
R58364	P33046	L131014
R44599	url	L83262
R56995	P31023	L120241
R60599	P33129	L153262
R32910	P15539	L68344
R66212	P33146	L220278
R60758	P33129	L155170
R61371	P33129	L162526
R38182	P18022	R38183
R60374	P33131	L150564
R64339	P33151	L197828
R66708	P33149	L226233
R54200	P28	L101843
R66012	P2005	R63783
R54867	compareContribution	R54810
R25694	compareContribution	R25684
R28166	P27	L56756
R33698	P15603	L70364
R57094	P31024	L121214
R67303	P33142	L233366
R59410	P33050	L141478
R64245	P33145	L196694
R58257	P33042	L129940
R30333	P15343	R30299
R61899	P33130	L168863
R70252	TemplateComponentOccurrenceMin	L241893
R67585	P33150	L236758
R54216	P27	L101999
R69488	P26	L240146
R64424	P33142	L198839
R44836	P27	L128841
R54725	P31	R54727
R33025	P15590	L69167
R67394	P33147	L234463
R32933	P15564	L68721
R57196	P9040	L122140
R25671	P5036	L48579
R67110	P33150	L231058
R60811	P33132	L155809
R44288	P18071	R44306
R61177	P33129	L160198
R61124	P33136	L159569
R66946	P33147	L229087
R56896	P9040	L119328
R6784	P5085	L5284
R65350	P33152	L209940
R27810	P26	L240180
R63512	P33140	L188229
R44297	P23082	R44298
R58483	P33043	L132201
R66511	P33147	L223867
R61960	P33133	L169598
R41123	P32	R41114
R54081	P32001	L100680
R6050	P27	L4036
R41138	P28	L79311
R31792	P15461	L64270
R54743	P31005	L107104
R66774	P33144	L227020
R44045	P23006	R29989
R59423	P33049	L141607
R64870	P33146	L204174
R63079	P33139	L183032
R65978	P33142	L217466
R63759	P33130	L191183
R66321	P33141	L221581
R68487	P32	R68532
R61525	P33132	L164377
R61272	P33138	L161347
R62336	P33135	L174112
R55219	compareContribution	R55018
R4843	P32	R4845
R33976	P29	L71158
R46642	P25061	L87861
R64411	P33141	L198682
R63081	P33132	L183049
R33034	P15588	L69228
R65263	P33143	L208887
R29102	P4012	R29020
R46393	P32	R46406
R62494	P2005	R60165
R31954	reference	L64889
R6712	P30	R133
R57773	P15068	L126284
R46154	P27	L86466
R25188	P26	L241310
R32904	P15544	L68239
R60341	P33137	L150174
R39055	P18093	L76969
R56948	P27030	R49276
R28609	P31	R28610
R61818	P2005	R60165
R62600	P33131	L177276
R56872	P31024	L119117
R26133	P30	R11
R58849	P33042	L135860
R61372	P33134	L162543
R64063	P33146	L194511
R46504	P28	L87202
R31440	P15421	R31306
R59879	P2005	R59830
R67531	P33147	L236107
R66894	P33152	L228468
R60563	P33129	L152830
R57960	P15068	L128376
R54199	P31024	L101833
R54043	P27030	L100316
R63371	P33137	L186534
R62449	P33140	L175473
R62415	P33138	L175063
R25999	compareContribution	R25968
R30624	P15372	L61295
R65910	P33141	L216649
R56433	P31023	L115156
R58113	P30	R69
R46604	P25060	L87674
R59825	P33068	L145274
R29734	P15344	R29732
R63859	P33142	L192059
R25789	P27	L49259
R58668	P33044	L134052
R60717	P33135	L154684
R59684	P33045	L144213
R54534	P31024	L105029
R58992	P33045	L137293
R65753	P33149	L214773
R69649	P34077	L240797
R59296	P33043	L140331
R54585	P29	L105521
R28253	P15051	R28147
R46798	P25071	R46925
R49635	TemplateComponentOrder	L91039
R6578	P27	L5000
R56694	P31	R56695
R59280	P33048	L140176
R54203	P32096	L101875
R57616	HAS_VENUE	R1012
R66496	P33141	L223681
R61295	P33133	L161618
R69324	P28	L239735
R66909	P33148	L228644
R59691	P33050	L144288
R28961	P27	L58525
R23485	P27	L45805
R62130	P33133	L171638
R34946	HAS_APPROACH	R34950
R66075	P33144	L218632
R66320	P33147	L221575
R34171	P27	L71724
R56898	P33011	L119350
R28017	P15259	R27848
R67164	P33150	L231706
R32025	compareContribution	R32011
R52025	P27	L95191
R61133	P33130	L159671
R62087	P33135	L171124
R61373	P33136	L162557
R70000	P29005	R70007
R56599	P29	L116595
R33587	P27	L69892
R34166	P15634	L71697
R66760	P33147	L226855
R30619	P9041	L61263
R56547	P29	L116105
R62555	P33135	L176740
R67126	P33143	L231243
R54106	P28	L100930
R67219	P33146	L232362
R30333	P15345	R29391
R25211	P29	L46623
R67189	P33149	L232005
R58866	P33045	L136033
R68312	P31	R68526
R61071	P33132	L158929
R58644	P33049	L133817
R68838	HAS_RESULTS	R68288
R63833	P33145	L191750
R62206	P33135	L172552
R65947	P33147	L217099
R46581	P32	R46575
R3069	P32	R3070
R30442	P15341	R29362
R9633	HAS_APPROACH	R9636
R66871	P33144	L228184
R64701	P33151	L202172
R62908	P33130	L180971
R61666	P33129	L166066
R54544	P30004	L105126
R32674	P30	R11
R29342	P27	L59622
R54842	P31024	L108073
R66343	P33144	L221848
R41026	P30	R277
R28596	P27	L57955
R54602	P30004	L105697
R54794	P32117	L107588
R30450	P27	L60566
R64159	P33151	L195668
R61247	P2005	R60165
R68504	P32	R68532
R69680	compareContribution	R69631
R58052	P27	L128953
R6187	compareContribution	R6130
R66276	P33148	L221048
R60589	P2005	R60165
R67116	P33148	L231128
R64019	P2005	R63783
R62208	P2005	R60165
R64552	P33152	L200385
R58494	P33042	L132310
R56858	P15068	L118992
R65263	P33152	L208896
R54134	HAS_VENUE	R1012
R52288	hasContent	L96451
R63953	P33141	L193186
R34093	P27	L71333
R58526	P33046	L132634
R60970	P33129	L157714
R61473	P33134	L163755
R64752	P33151	L202784
R59018	P33044	L137552
R57660	P27	L125033
R46223	P27	L86758
R54091	P15068	L100785
R46886	HAS_VALUE	R46891
R65971	P33146	L217386
R65128	P2005	R63783
R34957	HAS_RESULTS	R34969
R25078	P15005	L46131
R60139	P33123	L147973
R31696	P15441	L63493
R66938	P33150	L228994
R64655	P2005	R63783
R5144	P4016	R5152
R64529	P33141	L200098
R57242	P31024	L122594
R60109	P33124	L147524
R53231	P31005	L97905
R56723	P33011	L117752
R61443	P33137	L163398
R27282	P32	R27280
R69018	P34037	R68997
R69563	P34081	R69545
R61008	P33137	L158178
R69690	P32	R69688
R65337	P33152	L209784
R54811	P31024	L107767
R65247	P33152	L208704
R33565	P15592	R33556
R65635	P33146	L213354
R32641	P15519	L66704
R67751	HAS_RESULTS	R67748
R58895	P33049	L136327
R27473	P15232	L55209
R36060	P16020	L74089
R70095	P18058	R70231
R69387	P30	R133
R66686	P33147	L225967
R25035	HAS_METHOD	R25040
R49302	P32	R43007
R61894	P33140	L168813
R63837	P2005	R63783
R38907	P27	L76684
R54203	P30004	L101873
R32573	P26	L66436
R63816	P33151	L191552
R56902	P15068	L119394
R69342	P26	L239782
R28461	P15051	R28151
R60447	P33129	L151438
R61204	P33129	L160522
R49194	TemplateComponent	R49281
R64336	P33145	L197786
R44496	P23116	L82781
R66590	P33146	L224814
R63044	P33134	L182607
R62173	P33132	L172153
R65556	P33146	L212406
R63903	P33146	L192591
R30423	P15344	R30420
R32896	P15526	L68098
R3007	P26	L2001
R61009	P33135	L158188
R63098	P33129	L183250
R67543	P33152	L236256
R38676	P32	R38654
R60820	P33131	L155916
R63685	P33138	L190303
R62490	P33137	L175962
R69814	P15298	R44066
R27491	P31	R27492
R59735	P33053	L144490
R43009	P22041	L81040
R67154	P33148	L231584
R67035	P33148	L230156
R65124	P33149	L207225
R59175	P33043	L139121
R31826	P15472	L64382
R61496	P33132	L164029
R65433	P33143	L210927
R8857	P4015	R8911
R62647	P33138	L177847
R63849	P33142	L191939
R56780	P27030	L118280
R64981	P2005	R63783
R59437	P33045	L141743
R58657	P33042	L133940
R46166	P29	L86559
R8426	P27	L8532
R26125	P27	L51651
R67236	P33143	L232563
R63102	P33133	L183302
R31631	P15423	R31629
R30159	P26	L241246
R44540	P23107	R44543
R57885	P27	L127521
R39027	P18093	L76927
R26011	P15104	L50821
R64627	P33148	L201281
R64905	P33151	L204599
R69609	P26	L240686
R51399	P18065	R51402
R64440	P33148	L199037
R25871	P32	R25769
R68889	HAS_VALUE	R34321
R56888	P30002	L119262
R57062	P30001	L120896
R62995	P33129	L182014
R62421	P33140	L175137
R52080	P30003	L95650
R61563	P33134	L164835
R60527	P33140	L152409
R59680	P33050	L144178
R30719	P27	L61565
R63707	P33129	L190558
R62191	P2005	R60165
R70095	P32	R70096
R63732	P33135	L190864
R67606	P33146	L237006
R65353	P33146	L209970
R61630	P33131	L165636
R34726	P15687	L73451
R57086	P33012	L121133
R60302	P33131	L149700
R56421	P33010	L115067
R64146	P33146	L195507
R63261	P33133	L185210
R67426	P33145	L234845
R56315	P30	R50
R64636	P33145	L201386
R61398	P33138	L162859
R50347	P32	R50349
R28109	P15264	L56594
R64693	P33149	L202074
R56614	P29	L116743
R46510	P28	L87232
R53241	P30	R50
R4993	P31	R4999
R62614	P33129	L177442
R66389	P33152	L222408
R28139	P5082	R28107
R63138	P33132	L183733
R44424	P23114	L82307
R54234	P28	L102176
R64013	P2005	R63783
R31674	P29	L63301
R60974	P33136	L157769
R63698	P33130	L190451
R59800	P33069	L144975
R68283	HAS_RESULTS	R68280
R66728	P33149	L226473
R62127	P33137	L171606
R56141	P33010	L112744
R68267	P18023	R68346
R64384	P33151	L198368
R60498	P33136	L152057
R61773	P33135	L167356
R67266	P33148	L232928
R28435	P30	R11
R58676	P2005	R58159
R58886	P33041	L136229
R27409	P27	L54963
R62951	P33129	L181486
R26705	METHOD	R26615
R59358	P33044	L140952
R65113	P33143	L207087
R8454	P28	L8560
R59606	P33047	L143435
R54563	P27	L105301
R65347	P33141	L209893
R52128	P30003	L96036
R64615	P2005	R63783
R32720	P30	R11
R60859	P33139	L156392
R6386	P31	R6387
R27303	P15207	L54507
R54660	P29012	L106270
R32630	P31	R32631
R25172	P26	L240202
R4820	HAS_METRIC	R4829
R63772	P33138	L191347
R70125	P27	L241833
R28411	P27	L57205
R60572	P2005	R60165
R46665	P25060	L87974
R61457	P33134	L163563
R29474	P15239	R29446
R60815	P33131	L155856
R58666	P33048	L134036
R61917	P33138	L169087
R44515	P23124	L83011
R63432	P33131	L187260
R67183	P33143	L231927
R58476	P33050	L132138
R70069	P18066	R51224
R36150	P9044	L74616
R63604	P2005	R60165
R56335	P27	L114360
R66984	P33145	L229541
R58186	P33043	L129231
R67513	P33147	L235891
R30747	P27	L61668
R26197	P32	R26155
R4643	P4066	R4650
R65532	P33152	L212124
R45098	P29	L85093
R25629	compareContribution	R25613
R27050	P15177	L53888
R52250	TemplateLabelFormat	L99159
R28105	P15261	L56584
R27920	P27	L56230
R56165	P33009	L112937
R70103	P18050	R70108
R6912	P5102	L5589
R30481	P15352	L60632
R9505	P7213	R8267
R61043	P33138	L158599
R63058	P33130	L182771
R46664	P27	R69687
R66592	P33147	L224839
R66763	P33148	L226892
R65735	P33142	L214550
R56926	P32	R56530
R70089	P18058	R51249
R56706	P27	L117600
R66265	P33148	L220916
R50770	P30	R69
R66050	P33149	L218337
R25156	P27	L46476
R63425	P33139	L187184
R58303	P33050	L130408
R64634	P33145	L201362
R32661	P15518	R32556
R30625	P9041	L61297
R46080	P28	L86087
R65697	P33150	L214102
R55150	P27	L110839
R57930	P30002	L128027
R60671	P33136	L154133
R62547	P33134	L176643
R38780	P7149	L76631
R57331	P33006	L123412
R59023	P33042	L137600
R62253	P2005	R60165
R59796	P33070	L144928
R6244	P2005	R6247
R68063	P7004	L238176
R66505	P33144	L223792
R66809	P33146	L227442
R26590	P27	L52798
R56373	P9040	L114665
R66242	P33147	L220639
R9562	P7227	L9316
R64116	P33144	L195145
R62960	P33136	L181601
R59983	P33094	L146671
R54827	P32118	L107918
R61648	P33138	L165859
R67305	P33143	L233391
R12100	HAS_VENUE	R12101
R33849	P27	L70944
R25702	P32	R25667
R56458	P31	R56459
R56921	P31	R56922
R56658	HAS_VENUE	R1012
R62219	P33135	L172708
R66873	P33141	L228205
R54779	P27030	L107441
R56972	P31	R56973
R28902	P32	R28890
R62064	P33131	L170844
R56515	P9040	L115816
